chr	start_gene	end_gene	strand_gene	gene_name	ensembl_id	gene_type
chr7	16864267	16866308	-	RAD17P1	ENSG00000232400	processed_pseudogene
chr12	27547050	27552773	-	ENSG00000248100	ENSG00000248100	lncRNA
chr14	106463256	106463691	-	IGHV3-42	ENSG00000254228	IG_V_pseudogene
chr15	25677273	25865184	-	ATP10A	ENSG00000206190	protein_coding
chr11	77660009	77820869	-	RSF1	ENSG00000048649	protein_coding
chr14	104769349	104795751	-	AKT1	ENSG00000142208	protein_coding
chr10	132961340	132962237	-	LINC01167	ENSG00000224758	lncRNA
chr6	107065182	107115515	-	BEND3	ENSG00000178409	protein_coding
chr19	21677550	21678221	-	MTDHP3	ENSG00000268433	processed_pseudogene
chr8	98064522	98093610	+	ERICH5	ENSG00000177459	protein_coding
chr4	62248294	62248770	+	RPL21P47	ENSG00000241344	processed_pseudogene
chr13	52503320	52586906	+	TPTE2P3	ENSG00000244471	transcribed_unprocessed_pseudogene
chr2	201102089	201102957	-	RPL17P10	ENSG00000224672	processed_pseudogene
chr11	68312591	68449275	+	LRP5	ENSG00000162337	protein_coding
chr8	10825373	10825443	-	MIR1322	ENSG00000283210	miRNA
chr1	103926567	103927806	+	ENSG00000225191	ENSG00000225191	processed_pseudogene
chr4	6687448	6690544	-	LINC02481	ENSG00000246526	lncRNA
chr7	99027440	99144108	-	SMURF1	ENSG00000198742	protein_coding
chr7	65064999	65073848	+	CCT6P3	ENSG00000234585	transcribed_unprocessed_pseudogene
chr3	150308236	150331009	-	ENSG00000289524	ENSG00000289524	lncRNA
chr19	43211791	43269530	-	PSG9	ENSG00000183668	protein_coding
chr9	67832765	67920552	+	ANKRD20A1	ENSG00000260691	protein_coding
chrX	151182386	151182855	+	ENSG00000269993	ENSG00000269993	lncRNA
chr16	69191123	69191223	+	Y_RNA	ENSG00000200164	misc_RNA
chr16	32869985	32873128	+	BCAP31P2	ENSG00000260047	unprocessed_pseudogene
chr4	54657267	54740783	+	KIT	ENSG00000157404	protein_coding
chr14	91869411	91947987	-	FBLN5	ENSG00000140092	protein_coding
chr5	67179613	67196799	-	CD180	ENSG00000134061	protein_coding
chr11	118572390	118603033	+	ARCN1	ENSG00000095139	protein_coding
chr17	20408311	20434286	+	ENSG00000291194	ENSG00000291194	lncRNA
chr21	42496008	42581440	+	SLC37A1	ENSG00000160190	protein_coding
chr16	21642294	21642400	+	RNU6-196P	ENSG00000207042	snRNA
chr16	89972581	90002161	+	AFG3L1P	ENSG00000223959	transcribed_unitary_pseudogene
chr16	2155023	2155105	-	SNORD60	ENSG00000206630	snoRNA
chr16	2513952	2520218	+	ATP6V0C	ENSG00000185883	protein_coding
chr1	202003124	202003236	+	MIR6740	ENSG00000275207	miRNA
chr9	60944555	60944636	-	ENSG00000278485	ENSG00000278485	processed_pseudogene
chr18	75927836	75928004	+	ENSG00000275827	ENSG00000275827	processed_pseudogene
chr1	153225080	153226006	+	RPLP0P4	ENSG00000230779	processed_pseudogene
chr11	126067539	126068601	+	NAP1L1P1	ENSG00000254759	processed_pseudogene
chr19	685546	695498	-	PRSS57	ENSG00000185198	protein_coding
chr9	61868727	61887084	+	ENSG00000223379	ENSG00000223379	lncRNA
chr17	74670578	74747335	+	RAB37	ENSG00000172794	protein_coding
chr1	37154761	37325100	-	ENSG00000223944	ENSG00000223944	lncRNA
chr8	11676959	11760002	+	GATA4	ENSG00000136574	protein_coding
chr2	152717647	152762396	+	ARL6IP6	ENSG00000177917	protein_coding
chr1	27392622	27395814	+	GPR3	ENSG00000181773	protein_coding
chr16	50292616	50292675	+	MIR6771	ENSG00000274969	miRNA
chr2	174798809	175005381	-	CHN1	ENSG00000128656	protein_coding
chr1	4412027	4424689	+	LINC01777	ENSG00000235054	lncRNA
chr11	83213005	83213404	+	RPL32P24	ENSG00000241020	processed_pseudogene
chr8	144409492	144409976	+	ENSG00000272115	ENSG00000272115	lncRNA
chr2	37617328	37661861	+	ENSG00000290100	ENSG00000290100	lncRNA
chr3	69048958	69049035	-	MIR3136	ENSG00000265355	miRNA
chr11	84639993	84640565	+	ENSG00000240174	ENSG00000240174	processed_pseudogene
chr11	33858576	33892076	-	LMO2	ENSG00000135363	protein_coding
chr17	20836447	20896162	-	CCDC144NL	ENSG00000291074	lncRNA
chr8	126582631	126583006	-	ENSG00000253543	ENSG00000253543	processed_pseudogene
chr15	90074512	90082207	-	ZNF710-AS1	ENSG00000259291	lncRNA
chr1	151399560	151401937	+	PSMB4	ENSG00000159377	protein_coding
chr8	7170550	7170741	+	SNRPCP15	ENSG00000230106	processed_pseudogene
chr17	44976344	44985879	+	ENSG00000289024	ENSG00000289024	lncRNA
chr12	14880864	14885857	-	MGP	ENSG00000111341	protein_coding
chrX	106813871	107000212	-	MORC4	ENSG00000133131	protein_coding
chr13	105690429	105702689	+	ENSG00000280455	ENSG00000280455	lncRNA
chr19	48872212	48876059	+	PPP1R15A	ENSG00000087074	protein_coding
chr19	32345594	32387667	+	ZNF507	ENSG00000168813	protein_coding
chr22	22086561	22087110	+	IGLV1-62	ENSG00000253823	IG_V_pseudogene
chrX	119693568	119696059	+	ENSG00000279601	ENSG00000279601	TEC
chr14	19124807	19175530	-	ENSG00000277128	ENSG00000277128	lncRNA
chr2	143091362	143768352	+	ARHGAP15	ENSG00000075884	protein_coding
chr4	187408232	187415748	+	LINC02515	ENSG00000250620	lncRNA
chr7	39888375	39888664	+	RN7SL496P	ENSG00000242855	misc_RNA
chr17	30792372	30792833	+	ENSG00000266490	ENSG00000266490	lncRNA
chr2	28425945	28426719	+	ENSG00000270210	ENSG00000270210	lncRNA
chr1	118614333	118615646	-	PSMC1P12	ENSG00000226126	processed_pseudogene
chr5	178997969	178998815	-	ENSG00000254158	ENSG00000254158	processed_pseudogene
chr13	61424689	61427946	-	LINC02339	ENSG00000279797	lncRNA
chr10	67793770	67794245	+	RPL21P92	ENSG00000225922	processed_pseudogene
chr1	235447190	235504452	-	B3GALNT2	ENSG00000162885	protein_coding
chr20	23747562	23751268	-	CST1	ENSG00000170373	protein_coding
chr17	11953889	11977594	-	ENSG00000266368	ENSG00000266368	lncRNA
chr9	64369394	64412691	+	ANKRD20A5P	ENSG00000290972	lncRNA
chr10	67750284	67751225	+	AKR1B10P1	ENSG00000213606	processed_pseudogene
chr13	95693983	95694495	-	MTND6P18	ENSG00000227714	processed_pseudogene
chr15	92627073	92627414	+	ENSG00000259064	ENSG00000259064	processed_pseudogene
chr20	53196229	53208705	-	ENSG00000227705	ENSG00000227705	lncRNA
chr8	144077997	144079265	-	ENSG00000255224	ENSG00000255224	lncRNA
chr12	48857145	48865870	-	RND1	ENSG00000172602	protein_coding
chr12	43569769	43572038	-	ENSG00000257813	ENSG00000257813	processed_pseudogene
chrM	1671	3229	+	MT-RNR2	ENSG00000210082	Mt_rRNA
chr4	75641849	75724589	-	G3BP2	ENSG00000138757	protein_coding
chr12	87746567	87746683	+	ENSG00000258205	ENSG00000258205	processed_pseudogene
chr20	26008791	26010531	-	ENSG00000231081	ENSG00000231081	lncRNA
chr18	36108531	36129385	-	SLC39A6	ENSG00000141424	protein_coding
chr9	128832942	128882494	-	KYAT1	ENSG00000171097	protein_coding
chrX	153599315	153613937	+	MRFAP1P1	ENSG00000260081	transcribed_processed_pseudogene
chr11	56775261	56776206	-	OR5G1P	ENSG00000181296	unprocessed_pseudogene
chr9	111631334	111654351	+	DNAJC25	ENSG00000059769	protein_coding
chr16	11254417	11256204	-	SOCS1	ENSG00000185338	protein_coding
chr18	57600656	57622213	-	NARS1	ENSG00000134440	protein_coding
chr13	43823909	43879740	-	CCDC122	ENSG00000151773	protein_coding
chr6	116792085	116829083	-	GPRC6A	ENSG00000173612	protein_coding
chr10	42254072	42367993	-	ENSG00000291065	ENSG00000291065	lncRNA
chr3	120833936	120871794	+	ENSG00000287366	ENSG00000287366	lncRNA
chr16	33687330	33698504	-	BMS1P8	ENSG00000260518	transcribed_unprocessed_pseudogene
chr19	53787890	53787956	+	MIR372	ENSG00000199095	miRNA
chr11	13668668	13732346	+	FAR1	ENSG00000197601	protein_coding
chr13	32420390	32420516	-	ENSG00000212293	ENSG00000212293	snoRNA
chr11	85647967	85656547	+	TMEM126A	ENSG00000171202	protein_coding
chr20	3667965	3682246	-	ADAM33	ENSG00000149451	protein_coding
chr18	36128046	36129340	-	ENSG00000288917	ENSG00000288917	lncRNA
chrX	73944332	73944466	+	ENSG00000274430	ENSG00000274430	misc_RNA
chr6	4774526	4775408	-	CDYL-AS1	ENSG00000236336	lncRNA
chr9	34394	37269	-	FAM138C	ENSG00000218839	lncRNA
chr19	38384267	38388082	-	GGN	ENSG00000179168	protein_coding
chr15	53513741	53762878	-	WDR72	ENSG00000166415	protein_coding
chr10	133664429	133665106	+	DUX4L28	ENSG00000279626	unprocessed_pseudogene
chr1	35869808	35930532	+	AGO1	ENSG00000092847	protein_coding
chr4	56593004	56595681	+	GLDCP1	ENSG00000248590	transcribed_processed_pseudogene
chr1	12166991	12209228	+	TNFRSF1B	ENSG00000028137	protein_coding
chr16	53168522	53169450	+	ENSG00000261291	ENSG00000261291	lncRNA
chr10	72692143	72887694	+	MCU	ENSG00000156026	protein_coding
chr16	88177298	88186929	-	ENSG00000261327	ENSG00000261327	lncRNA
chr2	21094101	21096543	-	ENSG00000287956	ENSG00000287956	lncRNA
chr6	3982673	3984130	+	ENSG00000279926	ENSG00000279926	TEC
chr12	106349054	106349336	+	ENSG00000290003	ENSG00000290003	lncRNA
chr21	41420020	41470071	+	MX1	ENSG00000157601	protein_coding
chr6	159720415	159720540	-	RNU4ATAC18P	ENSG00000251988	snRNA
chr19	193239	195595	+	CICP19	ENSG00000282059	processed_pseudogene
chr13	18413127	18431605	+	ENSG00000268486	ENSG00000268486	transcribed_unprocessed_pseudogene
chr12	89010681	89309566	-	LINC02458	ENSG00000246363	lncRNA
chr14	64503712	64533690	+	ZBTB1	ENSG00000126804	protein_coding
chr6	91726810	91727070	+	MTATP6P25	ENSG00000262095	processed_pseudogene
chrY	25458926	25459184	+	RN7SL725P	ENSG00000278242	misc_RNA
chr18	70205774	70208781	+	ENSG00000287646	ENSG00000287646	lncRNA
chr20	45890144	45898949	+	CTSA	ENSG00000064601	protein_coding
chr3	149357169	149357545	-	RPS25P5	ENSG00000243822	processed_pseudogene
chr2	121688203	121689714	+	ENSG00000279721	ENSG00000279721	TEC
chr16	20333051	20356301	-	UMOD	ENSG00000169344	protein_coding
chr6	43844878	43852317	-	LINC02537	ENSG00000283215	lncRNA
chr1	115700021	115768884	-	CASQ2	ENSG00000118729	protein_coding
chr14	106317823	106318236	-	IGHV7-27	ENSG00000254326	IG_V_pseudogene
chr5	69653248	69654334	+	ENSG00000248769	ENSG00000248769	unprocessed_pseudogene
chr6	42927686	42929479	-	ENSG00000287825	ENSG00000287825	lncRNA
chr1	203475806	203491352	+	PRELP	ENSG00000188783	protein_coding
chr3	186079170	186080947	+	ETV5-AS1	ENSG00000234197	lncRNA
chr15	71164770	71165415	-	HMGB1P6	ENSG00000259781	processed_pseudogene
chr11	49098163	49101168	-	ENSG00000254412	ENSG00000254412	processed_pseudogene
chr4	122378966	122429802	+	ADAD1	ENSG00000164113	protein_coding
chr6	159890988	159917447	+	MAS1	ENSG00000130368	protein_coding
chr18	13514520	13522888	-	ENSG00000267136	ENSG00000267136	lncRNA
chr2	899462	905539	-	LINC01939	ENSG00000228799	lncRNA
chr10	13870797	13871175	+	NUTF2P5	ENSG00000215227	processed_pseudogene
chr1	151847101	151853712	-	THEM5	ENSG00000196407	protein_coding
chr2	189095063	189096158	+	ENSG00000228073	ENSG00000228073	lncRNA
chr19	8630633	8681151	+	NFILZ	ENSG00000268480	protein_coding
chr8	99091738	99094060	-	ENSG00000253562	ENSG00000253562	lncRNA
chr1	155185824	155192916	-	MUC1	ENSG00000185499	protein_coding
chr9	34179005	34252523	+	UBAP1	ENSG00000165006	protein_coding
chr17	18781111	18806714	+	TVP23B	ENSG00000171928	protein_coding
chr4	15002481	15070153	+	CPEB2	ENSG00000137449	protein_coding
chr17	1934677	2025334	-	RTN4RL1	ENSG00000185924	protein_coding
chr22	22899481	22899655	+	IGLJ2	ENSG00000211676	IG_J_gene
chr3	110551845	110551965	-	RNU6ATAC15P	ENSG00000221206	snRNA
chr20	47950797	47954808	+	ENSG00000234967	ENSG00000234967	lncRNA
chr16	28724252	28724321	+	MIR6862-2	ENSG00000278340	miRNA
chr5	53095679	53110063	-	MOCS2	ENSG00000164172	protein_coding
chr20	62181600	62182980	-	ENSG00000289537	ENSG00000289537	lncRNA
chr10	86521945	86525101	+	WAPL-DT	ENSG00000227896	lncRNA
chr11	65375192	65383701	-	SLC25A45	ENSG00000162241	protein_coding
chr15	21703428	21705627	-	ENSG00000281113	ENSG00000281113	lncRNA
chr7	142749468	142753072	+	PRSS1	ENSG00000204983	protein_coding
chr8	142784882	142786539	-	LY6D	ENSG00000167656	protein_coding
chr2	224499387	224500100	-	ANKRD49P1	ENSG00000228446	processed_pseudogene
chr11	49854080	49859402	-	ENSG00000255550	ENSG00000255550	unprocessed_pseudogene
chr8	69794062	69794734	+	ENSG00000271113	ENSG00000271113	processed_pseudogene
chr18	76259166	76260114	+	ENSG00000266614	ENSG00000266614	lncRNA
chr18	13726660	13764556	+	RNMT	ENSG00000101654	protein_coding
chr6	29582249	29582332	+	SNORD32B	ENSG00000201330	snoRNA
chrX	2691187	2741309	+	CD99	ENSG00000002586	protein_coding
chr1	102199739	102389630	-	ENSG00000233359	ENSG00000233359	lncRNA
chr1	240769420	240771534	-	THAP12P8	ENSG00000223963	processed_pseudogene
chr6	34587288	34696859	-	ILRUN	ENSG00000196821	protein_coding
chr4	74011578	74011876	+	RN7SL218P	ENSG00000244194	misc_RNA
chr8	92668660	92683450	+	ENSG00000253177	ENSG00000253177	lncRNA
chr6	116492297	116497099	+	ENSG00000234117	ENSG00000234117	lncRNA
chr11	47418769	47426473	-	PSMC3	ENSG00000165916	protein_coding
chr12	76984079	76984669	-	ENSG00000257199	ENSG00000257199	processed_pseudogene
chr17	7336529	7351477	+	ACAP1	ENSG00000072818	protein_coding
chrX	127390342	127392526	+	PNPLA10P	ENSG00000230538	processed_pseudogene
chr20	41024205	41024394	+	RNU2-52P	ENSG00000222612	snRNA
chr14	36473207	36521149	-	SFTA3	ENSG00000257520	protein_coding
chr2	206798325	206926876	+	ENSG00000229321	ENSG00000229321	lncRNA
chr2	73456764	73459482	+	ALMS1-IT1	ENSG00000230002	lncRNA
chr16	32951993	33028037	-	ENSG00000261259	ENSG00000261259	transcribed_processed_pseudogene
chr15	72199029	72231819	-	PKM	ENSG00000067225	protein_coding
chr2	97713576	97739862	+	ZAP70	ENSG00000115085	protein_coding
chr2	97348899	97349179	+	IGKV3OR2-5	ENSG00000270252	IG_V_pseudogene
chr1	241993185	241993682	+	CFL1P4	ENSG00000213026	processed_pseudogene
chr11	106264315	106264581	+	ENSG00000254811	ENSG00000254811	transcribed_unprocessed_pseudogene
chr1	59296638	59810647	+	FGGY	ENSG00000172456	protein_coding
chr7	142487863	142488295	+	TRBV6-7	ENSG00000253188	TR_V_gene
chrX	153861514	153886173	-	L1CAM	ENSG00000198910	protein_coding
chrX	24788392	24789069	-	EEF1B2P3	ENSG00000232472	processed_pseudogene
chr19	49064259	49064856	+	ENSG00000268287	ENSG00000268287	lncRNA
chr16	87064609	87065321	-	ENSG00000289336	ENSG00000289336	lncRNA
chr2	89666033	89683204	+	ENSG00000283659	ENSG00000283659	unprocessed_pseudogene
chr19	49591182	49626439	+	PRR12	ENSG00000126464	protein_coding
chr19	54173412	54189882	-	MBOAT7	ENSG00000125505	protein_coding
chr7	38340700	38340998	-	TRGV6	ENSG00000226212	TR_V_pseudogene
chr11	124747474	124752255	-	VSIG2	ENSG00000019102	protein_coding
chr4	148445703	149024624	+	ENSG00000287292	ENSG00000287292	lncRNA
chr13	33285866	33290561	+	ENSG00000287274	ENSG00000287274	lncRNA
chr7	105189190	105189814	+	ENSG00000270764	ENSG00000270764	processed_pseudogene
chr2	202265736	202303661	+	NOP58	ENSG00000055044	protein_coding
chr15	25159221	25159279	+	SNORD115	ENSG00000212428	snoRNA
chr19	58474017	58481230	+	ZNF446	ENSG00000083838	protein_coding
chr17	67471489	67471585	-	MIR548D2	ENSG00000263690	miRNA
chr1	206035253	206062257	+	ENSG00000285417	ENSG00000285417	transcribed_unitary_pseudogene
chr1	89788914	89790492	+	ENSG00000231613	ENSG00000231613	lncRNA
chr11	37938601	37954663	+	LINC02760	ENSG00000254516	lncRNA
chr5	111912508	112017309	+	NREP-AS1	ENSG00000250095	lncRNA
chr5	43874367	43886628	+	ENSG00000249276	ENSG00000249276	lncRNA
chr21	19739709	19740150	+	SREK1IP1P1	ENSG00000229336	processed_pseudogene
chr13	24323021	24323457	+	ENSG00000277040	ENSG00000277040	processed_pseudogene
chr10	23192312	23194245	+	PTF1A	ENSG00000168267	protein_coding
chr12	53985845	54034888	+	ENSG00000273049	ENSG00000273049	protein_coding
chr13	112894378	113099742	+	MCF2L	ENSG00000126217	protein_coding
chr19	35040506	35066573	+	HPN	ENSG00000105707	protein_coding
chrX	50171197	50171297	-	Y_RNA	ENSG00000202495	misc_RNA
chrX	990221	994365	+	ENSG00000237531	ENSG00000237531	lncRNA
chr22	16141767	16141872	+	U6	ENSG00000278188	snRNA
chr21	36748626	36990236	-	HLCS	ENSG00000159267	protein_coding
chrX	111434427	111435024	+	HMGB1P12	ENSG00000223904	processed_pseudogene
chr3	32105689	32168709	+	GPD1L	ENSG00000152642	protein_coding
chr5	31595565	31595669	-	RNU6-363P	ENSG00000199765	snRNA
chr6	44058792	44089288	+	ENSG00000231881	ENSG00000231881	lncRNA
chr9	91077104	91163328	-	ENSG00000237422	ENSG00000237422	lncRNA
chr11	65575330	65575907	-	ENSG00000289339	ENSG00000289339	lncRNA
chr2	84039885	84040720	-	ST6GALNAC2P1	ENSG00000228902	processed_pseudogene
chr19	34404399	34426168	+	PDCD2L	ENSG00000126249	protein_coding
chr15	55372940	55373034	-	MIR628	ENSG00000283891	miRNA
chr15	74445977	74461182	-	UBL7	ENSG00000138629	protein_coding
chr9	21966929	21967751	+	CDKN2A-DT	ENSG00000224854	lncRNA
chr21	44350163	44443081	+	TRPM2	ENSG00000142185	protein_coding
chr17	2306761	2307715	+	HNRNPA1P16	ENSG00000262333	processed_pseudogene
chr12	51061205	51083664	-	CSRNP2	ENSG00000110925	protein_coding
chrX	134549770	134560399	+	LINC00629	ENSG00000227060	lncRNA
chr7	53490148	53490439	-	RN7SKP218	ENSG00000222154	misc_RNA
chr15	84398990	84401731	-	DNM1P51	ENSG00000235370	transcribed_unprocessed_pseudogene
chr1	52602371	52609051	+	GPX7	ENSG00000116157	protein_coding
chr10	43136824	43138334	-	CSGALNACT2-DT	ENSG00000273008	lncRNA
chr1	198450666	198519877	-	ENSG00000287989	ENSG00000287989	lncRNA
chr10	15095385	15097319	-	RPP38-DT	ENSG00000176236	lncRNA
chr13	87427200	87447235	-	ENSG00000232636	ENSG00000232636	lncRNA
chr17	28219285	28220005	+	ENSG00000267644	ENSG00000267644	lncRNA
chr19	16019719	16020290	+	ENSG00000280412	ENSG00000280412	TEC
chr14	76151916	76254342	+	GPATCH2L	ENSG00000089916	protein_coding
chr14	19956600	19957568	+	OR4K16P	ENSG00000258822	transcribed_unprocessed_pseudogene
chr4	7430285	7434930	-	PSAPL1	ENSG00000178597	protein_coding
chr3	169766921	169769561	-	ACTRT3	ENSG00000184378	protein_coding
chr3	186810880	186825521	-	LINC02043	ENSG00000232233	lncRNA
chr15	40244925	40247366	+	ENSG00000279537	ENSG00000279537	TEC
chr3	11745	24849	+	LINC01986	ENSG00000223587	lncRNA
chr5	1392794	1445440	-	SLC6A3	ENSG00000142319	protein_coding
chr5	10353695	10440388	+	MARCHF6	ENSG00000145495	protein_coding
chr15	89876540	89877285	+	ENSG00000259677	ENSG00000259677	processed_pseudogene
chr10	45444570	45453121	-	ENSG00000231964	ENSG00000231964	lncRNA
chr19	12953119	12957223	-	GADD45GIP1	ENSG00000179271	protein_coding
chr18	9334767	9402420	+	TWSG1	ENSG00000128791	protein_coding
chr18	57646426	57803315	-	ATP8B1	ENSG00000081923	protein_coding
chr5	140647058	140662480	+	IK	ENSG00000113141	protein_coding
chr20	35588324	35588607	+	RPL37P1	ENSG00000227401	processed_pseudogene
chr8	119832875	119855509	+	ENSG00000286362	ENSG00000286362	lncRNA
chr7	66423405	66423893	-	SKP1P1	ENSG00000231234	transcribed_processed_pseudogene
chr5	8157541	8157788	-	ENSG00000249486	ENSG00000249486	unprocessed_pseudogene
chr1	27970344	28088637	-	EYA3	ENSG00000158161	protein_coding
chr21	22008756	22098518	-	LINC01687	ENSG00000233215	lncRNA
chr5	138473744	138474361	+	RPL7P19	ENSG00000241458	processed_pseudogene
chr3	131502573	131520880	+	ENSG00000248468	ENSG00000248468	lncRNA
chr1	27098809	27166981	-	SLC9A1	ENSG00000090020	protein_coding
chr9	122237622	122264840	-	RBM18	ENSG00000119446	protein_coding
chr19	50075123	50075902	+	ENSG00000267890	ENSG00000267890	lncRNA
chr1	103569553	103570674	+	ACTG1P4	ENSG00000236085	processed_pseudogene
chr7	132830693	132849593	+	ENSG00000227197	ENSG00000227197	lncRNA
chr2	179944876	180007297	-	CWC22	ENSG00000163510	protein_coding
chr13	88236547	88236969	-	RPL29P29	ENSG00000225289	processed_pseudogene
chr7	73095357	73095458	+	Y_RNA	ENSG00000199913	misc_RNA
chr1	114567557	114581629	-	BCAS2	ENSG00000116752	protein_coding
chr20	5407564	5407876	+	ENSG00000276688	ENSG00000276688	lncRNA
chr12	30306431	30306524	-	RNA5SP356	ENSG00000251781	rRNA_pseudogene
chr1	205381378	205455954	-	LEMD1	ENSG00000186007	protein_coding
chr17	45435900	45490758	-	PLEKHM1	ENSG00000225190	protein_coding
chr2	72916260	72936071	+	EMX1	ENSG00000135638	protein_coding
chr9	64486164	64487069	-	CNN2P3	ENSG00000235832	processed_pseudogene
chr20	38427309	38427442	-	SNORA71A	ENSG00000225091	snoRNA
chr14	83805496	83805640	-	ENSG00000258549	ENSG00000258549	processed_pseudogene
chr12	119685791	119877320	-	CIT	ENSG00000122966	protein_coding
chr7	101085481	101097967	+	TRIM56	ENSG00000169871	protein_coding
chr6	128520728	128521180	+	ENSG00000289190	ENSG00000289190	lncRNA
chr10	20779973	21293011	-	NEBL	ENSG00000078114	protein_coding
chr11	67468174	67491154	+	AIP	ENSG00000110711	protein_coding
chr17	70312831	70368916	-	ENSG00000267109	ENSG00000267109	lncRNA
chr2	48617798	48733148	+	GTF2A1L	ENSG00000242441	protein_coding
chr17	7036015	7040117	+	SLC16A13	ENSG00000174327	protein_coding
chr13	46296445	46297844	-	LINC00563	ENSG00000261097	lncRNA
chr16	11359845	11527247	-	ENSG00000188897	ENSG00000188897	protein_coding
chr11	67364168	67374177	-	CLCF1	ENSG00000175505	protein_coding
chr14	73840520	73840609	-	ENSG00000270576	ENSG00000270576	processed_pseudogene
chr14	30055210	30055954	+	ENSG00000240201	ENSG00000240201	processed_pseudogene
chr4	29214253	29291869	+	LINC02472	ENSG00000248338	lncRNA
chr6	68223667	68242364	+	ENSG00000286564	ENSG00000286564	lncRNA
chr2	90121786	90122564	+	IGKV2D-14	ENSG00000254292	IG_V_pseudogene
chrX	100822620	100822752	-	ENSG00000202231	ENSG00000202231	snoRNA
chr2	203634577	203636016	-	ENSG00000233459	ENSG00000233459	processed_pseudogene
chr5	108593609	108593967	+	ENSG00000244245	ENSG00000244245	processed_pseudogene
chr15	26115726	26134001	+	LINC00929	ENSG00000259150	lncRNA
chr16	29913144	29915337	-	ENSG00000279789	ENSG00000279789	TEC
chr9	113113042	113119928	+	FAM225A	ENSG00000231528	lncRNA
chr2	131821987	131822920	-	ENSG00000274353	ENSG00000274353	unprocessed_pseudogene
chr11	63624087	63671921	-	ATL3	ENSG00000184743	protein_coding
chr14	105851705	105856218	-	IGHM	ENSG00000211899	IG_C_gene
chr7	38299811	38300322	-	TRGV10	ENSG00000211694	TR_V_gene
chr6	168225279	168226517	-	ENSG00000237987	ENSG00000237987	lncRNA
chr10	122729429	122826868	+	DMBT1L1	ENSG00000176584	transcribed_unitary_pseudogene
chr11	106112459	106132116	-	LINC02719	ENSG00000254580	lncRNA
chr8	22389865	22390655	-	RPL21P77	ENSG00000241026	unprocessed_pseudogene
chr16	62357371	62357746	+	ENSG00000237901	ENSG00000237901	processed_pseudogene
chr1	205731221	205731352	-	SNORA72	ENSG00000201944	snoRNA
chr2	20529467	20529976	-	NDUFAF2P1	ENSG00000279307	processed_pseudogene
chr4	9512905	9513874	+	OR7E83P	ENSG00000249866	unprocessed_pseudogene
chr12	122203681	122208952	+	B3GNT4	ENSG00000176383	protein_coding
chr13	74419158	74444735	+	LINC00381	ENSG00000226240	lncRNA
chr12	52837804	52849092	-	KRT78	ENSG00000170423	protein_coding
chr16	176680	177522	+	HBA1	ENSG00000206172	protein_coding
chr11	105974826	105974931	-	RNU6-277P	ENSG00000252081	snRNA
chr6	29373423	29375291	-	OR12D3	ENSG00000112462	protein_coding
chr8	76603240	76603852	-	MRPL9P1	ENSG00000254305	transcribed_processed_pseudogene
chr10	16590611	16817463	-	RSU1	ENSG00000148484	protein_coding
chr10	29289061	29318328	+	LYZL1	ENSG00000120563	protein_coding
chr10	45147394	45171389	+	ENSG00000243349	ENSG00000243349	lncRNA
chr19	34905335	34926828	-	ZNF30-AS1	ENSG00000270876	lncRNA
chr15	77043680	77045160	+	ENSG00000259652	ENSG00000259652	lncRNA
chr22	46762617	47175699	+	TBC1D22A	ENSG00000054611	protein_coding
chr18	66501083	66604138	-	CDH19	ENSG00000071991	protein_coding
chr19	54707916	54713453	+	LILRP2	ENSG00000170858	transcribed_processed_pseudogene
chr5	115148764	115149644	-	TRIM36-IT1	ENSG00000250472	lncRNA
chr7	36781008	36782789	+	ENSG00000235728	ENSG00000235728	lncRNA
chr2	237858893	237912106	+	RAMP1	ENSG00000132329	protein_coding
chr2	201556892	201558265	+	MTND5P31	ENSG00000227841	unprocessed_pseudogene
chr1	93922574	93923945	-	MTND4P11	ENSG00000234099	unprocessed_pseudogene
chr11	56331347	56332488	-	FAM8A2P	ENSG00000254722	unprocessed_pseudogene
chr13	24988577	24988925	-	RPL34P27	ENSG00000232858	processed_pseudogene
chr14	22459098	22459156	+	TRDJ3	ENSG00000211828	TR_J_gene
chr18	32954075	32957998	+	ENSG00000263450	ENSG00000263450	lncRNA
chr2	199901081	199901377	-	RN7SL717P	ENSG00000240302	misc_RNA
chr15	84633874	84634635	+	EGLN1P1	ENSG00000254779	transcribed_processed_pseudogene
chr15	44973558	44973661	+	RNU6-966P	ENSG00000252288	snRNA
chr8	74052340	74099853	+	ENSG00000254288	ENSG00000254288	lncRNA
chr16	83931311	83966332	+	OSGIN1	ENSG00000140961	protein_coding
chr8	46579213	46614523	-	ASNSP1	ENSG00000248498	transcribed_unprocessed_pseudogene
chr11	3665164	3665259	-	Y_RNA	ENSG00000200201	misc_RNA
chr21	13792635	13793141	+	FAM207CP	ENSG00000232797	processed_pseudogene
chr5	122369762	122383568	-	ENSG00000249916	ENSG00000249916	lncRNA
chr11	61873519	61892051	-	FADS3	ENSG00000221968	protein_coding
chr3	194827890	194832592	+	ENSG00000238031	ENSG00000238031	lncRNA
chr22	25251523	25252602	-	ENSG00000279298	ENSG00000279298	lncRNA
chr5	141439853	141442449	+	PCDHGB9P	ENSG00000276545	unprocessed_pseudogene
chr5	110738136	110765161	+	SLC25A46	ENSG00000164209	protein_coding
chrX	15727731	15727921	+	ENSG00000288680	ENSG00000288680	processed_pseudogene
